,Smiles
109,CCCCCC(=N/OC(=O)C)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N/OC(=O)C)CCCCC
110,CC(=O)O/N=C(/C)C(=O)c1ccc(cc1)-c2ccc(cc2)C(=O)/C(C)=N\OC(=O)C
111,CCCCCC(=N\OC(=O)C)\C(=O)c(cc1)ccc1-c2ccc(cc2)C(=O)/C(=N/OC(=O)C)CCCCC
112,CCCCCC(=N\OC(=O)C)\C(=O)c(cc1)ccc1-c2ccc(cc2)C(=O)/C(=N/OC(=O)C)CCCCC
113,CC(=O)O\N=C(C)\C(=O)c(cc1)cc(c12)C(CC)(CC)c3c2ccc(c3)C(=O)/C(C)=N/OC(=O)C
114,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cc(cc3)C(=O)/C(CC)=N/OC(=O)C
115,CC(=O)O/N=C(\CCC)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cc(cc3)C(=O)/C(CCC)=N/OC(=O)C
116,CCC(=O)c(cc1)cc(c12)C(CC)(CC)c3c2ccc(c3)C(=O)/C(C)=N/OC(=O)C
117,c1ccccc1C(=N/OC(=O)C)\C(=O)c(cc2)cc(c23)C(CC)(CC)c4c3ccc(c4)C(=O)/C(=N/OC(=O)C)c5ccccc5
118,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)C3=C(C2(CCC)CCC)C[C@H](C=C3)C(=O)/C(CC)=N/OC(=O)C
119,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)C3=C(C2(CCC)CCC)C[C@H](C=C3)C(=O)/C(CC)=N/OC(=O)C
120,CC(=O)O/N=C(\CCC)C(=O)c(c1)ccc(c12)c3c(C2(CCC)CCC)cc(cc3)C(=O)/C(CCC)=N/OC(=O)C
121,c1cc([N+](=O)[O-])ccc1-c2ccc(cc2)C(=O)/C(CCCCC)=N/OC(=O)CC
122,CC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cccc3
123,CCC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cccc3
124,CC(=O)O/N=C(/C)c(c1)ccc(c12)c3c(cc([N+]([O-])=O)cc3)C2(CCCC)CCCC
125,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)N(c3c(S2)cc(cc3)C(=O)/C(CC)=N/OC(=O)C)CCCCCCCCCC
126,CC(=O)O/N=C(\CC)c(c1)ccc(c12)N(CC)c3c(S2)cc(cc3)/C(CC)=N/OC(=O)C
127,CC(=O)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2C(=O)C)ccc(c3)C(=O)/C(CC)=N/OC(=O)C
128,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)N(CCCC)c3c(S2)cc(cc3)C(=O)/C(CC)=N/OC(=O)C
129,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)N(C[C@H](CC)CCCC)c3c(S2)cc(cc3)C(=O)/C(CC)=N/OC(=O)C
130,O=C(C)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCC)ccc(c3)C(=O)/C(CC)=N\OC(=O)C
131,O=C(C)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCC)ccc(c3)C(=O)/C(CC)=N\OC(=O)C
132,O=C(C)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCCCC)ccc(c3)C(=O)/C(CC)=N\OC(=O)C
133,O=C(C)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCCCC)ccc(c3)C(=O)/C(CC)=N\OC(=O)C
134,CCCCCC(=N/OC(=O)C)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCCCC)ccc(c3)C(=O)/C(=N/OC(=O)C)CCCCC
