,Smiles,acetoxy_radical,iminyl_radical,free_radical,BDE
237,CC(=O)O/N=C(\C)C(=O)c(c(c12)cccn2)ccc1OCc3ccccc3,CC([O])=O,CC(=[N])C(=O)c1ccc(OCc2ccccc2)c2ncccc12,[C],41.09625741004108
238,O=C(C)O\N=C(C)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(C)=N/OC(=O)C,CC([O])=O,CCCCC1(CCCC)c2cc(C(=O)C(C)=[N])ccc2-c2ccc(C(=O)/C(C)=N/OC(C)=O)cc21,[C],42.04819007999189
240,CCCCCCC(=N/OC(=O)C)\c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)/C(=N/OC(=O)C)CCCCCC,CC([O])=O,CCCCCCC(=[N])c1ccc2c(c1)C(CCCC)(CCCC)c1cc(/C(CCCCCC)=N/OC(C)=O)ccc1-2,[C],41.383029479959106
241,CCCCCCC(=N\OC(=O)C)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N\OC(=O)C)CCCCC,CC([O])=O,CCCCCCC(=[N])C(=O)c1ccc2c(c1)C(CCCC)(CCCC)c1cc(C(=O)/C(CCCCC)=N\OC(C)=O)ccc1-2,[C],39.32416917009212
242,CCCCCCC(=N\OC(=O)C)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N\OC(=O)C)CCCCC,CC([O])=O,CCCCCC/C(=N/OC(C)=O)C(=O)c1ccc2c(c1)C(CCCC)(CCCC)c1cc(C(=O)C(=[N])CCCCC)ccc1-2,[C],40.01380265984909
243,CCCCCC(=N/OC(=O)C)\C(=O)c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)C(=O)/C(=N/OC(=O)C)CCCCC,CC([O])=O,CCCCCC(=[N])C(=O)c1ccc2c(c1)C(CCCC)(CCCC)c1cc(C(=O)/C(CCCCC)=N/OC(C)=O)ccc1-2,[C],42.663149880151416
244,CC(=O)O/N=C(/C)C(=O)c1ccc(cc1)-c2ccc(cc2)C(=O)/C(C)=N\OC(=O)C,CC([O])=O,CC(=[N])C(=O)c1ccc(-c2ccc(C(=O)/C(C)=N\OC(C)=O)cc2)cc1,[C],39.46347639002576
246,CCCCCC(=N\OC(=O)C)\C(=O)c(cc1)ccc1-c2ccc(cc2)C(=O)/C(=N/OC(=O)C)CCCCC,CC([O])=O,CCCCCC(=[N])C(=O)c1ccc(-c2ccc(C(=O)/C(CCCCC)=N\OC(C)=O)cc2)cc1,[C],40.337597820030346
247,CC(=O)O\N=C(C)\C(=O)c(cc1)cc(c12)C(CC)(CC)c3c2ccc(c3)C(=O)/C(C)=N/OC(=O)C,CC([O])=O,CCC1(CC)c2cc(C(=O)C(C)=[N])ccc2-c2ccc(C(=O)/C(C)=N/OC(C)=O)cc21,[C],45.363325409968716
248,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cc(cc3)C(=O)/C(CC)=N/OC(=O)C,CC([O])=O,CCC(=[N])C(=O)c1ccc2c(c1)C(CC)(CC)c1cc(C(=O)/C(CC)=N/OC(C)=O)ccc1-2,[C],39.170429219980896
249,CC(=O)O/N=C(\CCC)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cc(cc3)C(=O)/C(CCC)=N/OC(=O)C,CC([O])=O,CCCC(=[N])C(=O)c1ccc2c(c1)C(CC)(CC)c1cc(C(=O)/C(CCC)=N/OC(C)=O)ccc1-2,[C],40.523340779989425
251,c1ccccc1C(=N/OC(=O)C)\C(=O)c(cc2)cc(c23)C(CC)(CC)c4c3ccc(c4)C(=O)/C(=N/OC(=O)C)c5ccccc5,CC([O])=O,CCC1(CC)c2cc(C(=O)C(=[N])c3ccccc3)ccc2-c2ccc(C(=O)/C(=N/OC(C)=O)c3ccccc3)cc21,[C],43.50966087008303
252,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)C3=C(C2(CCC)CCC)C[C@H](C=C3)C(=O)/C(CC)=N/OC(=O)C,CC([O])=O,CCCC1(CCC)C2=C(C=C[C@H](C(=O)/C(CC)=N/OC(C)=O)C2)c2ccc(C(=O)C(=[N])CC)cc21,[C],42.321156930087454
254,CC(=O)O/N=C(\CCC)C(=O)c(c1)ccc(c12)c3c(C2(CCC)CCC)cc(cc3)C(=O)/C(CCC)=N/OC(=O)C,CC([O])=O,CCCC(=[N])C(=O)c1ccc2c(c1)C(CCC)(CCC)c1cc(C(=O)/C(CCC)=N/OC(C)=O)ccc1-2,[C],42.614204099989635
255,c1cc([N+](=O)[O-])ccc1-c2ccc(cc2)C(=O)/C(CCCCC)=N/OC(=O)CC,CCC([O])=O,CCCCCC(=[N])C(=O)c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,[C]C,43.36784361015573
256,CC(=O)O/N=C(/C)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cccc3,CC([O])=O,CCC1(CC)c2ccccc2-c2ccc(C(=O)C(C)=[N])cc21,[C],39.689379990026126
257,CCC(=O)O/N=C(\C)C(=O)c(c1)ccc(c12)c3c(C2(CC)CC)cccc3,CCC([O])=O,CCC1(CC)c2ccccc2-c2ccc(C(=O)C(C)=[N])cc21,[C]C,40.78752248996449
258,CC(=O)O/N=C(/C)c(c1)ccc(c12)c3c(cc([N+]([O-])=O)cc3)C2(CCCC)CCCC,CC([O])=O,CCCCC1(CCCC)c2cc(C(C)=[N])ccc2-c2ccc([N+](=O)[O-])cc21,[C],41.629013400051456
259,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)N(c3c(S2)cc(cc3)C(=O)/C(CC)=N/OC(=O)C)CCCCCCCCCC,CC([O])=O,CCCCCCCCCCN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N/OC(C)=O)ccc21,[C],43.995981120210644
260,CC(=O)O/N=C(\CC)c(c1)ccc(c12)N(CC)c3c(S2)cc(cc3)/C(CC)=N/OC(=O)C,CC([O])=O,CCC(=[N])c1ccc2c(c1)Sc1cc(/C(CC)=N/OC(C)=O)ccc1N2CC,[C],44.20807950010318
261,CC(=O)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2C(=O)C)ccc(c3)C(=O)/C(CC)=N/OC(=O)C,CC([O])=O,CCC(=[N])C(=O)c1ccc2c(c1)Sc1cc(C(=O)/C(CC)=N/OC(C)=O)ccc1N2C(C)=O,[C],41.96724129026761
262,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)N(CCCC)c3c(S2)cc(cc3)C(=O)/C(CC)=N/OC(=O)C,CC([O])=O,CCCCN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N/OC(C)=O)ccc21,[C],42.8871709500852
263,CC(=O)O/N=C(\CC)C(=O)c(c1)ccc(c12)N(C[C@H](CC)CCCC)c3c(S2)cc(cc3)C(=O)/C(CC)=N/OC(=O)C,CC([O])=O,CCCC[C@@H](CC)CN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N/OC(C)=O)ccc21,[C],41.687371829975454
264,O=C(C)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCC)ccc(c3)C(=O)/C(CC)=N\OC(=O)C,CC([O])=O,CCCCCCN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N\OC(C)=O)ccc21,[C],44.65110156026878
265,O=C(C)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCC)ccc(c3)C(=O)/C(CC)=N\OC(=O)C,CC([O])=O,CCCCCCN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N/OC(C)=O)ccc21,[C],39.88767315023888
266,O=C(C)O\N=C(CC)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCCCC)ccc(c3)C(=O)/C(CC)=N\OC(=O)C,CC([O])=O,CCCCCCCCN1c2ccc(C(=O)C(=[N])CC)cc2Sc2cc(C(=O)/C(CC)=N\OC(C)=O)ccc21,[C],39.89520327021987
268,CCCCCC(=N/OC(=O)C)\C(=O)c(cc1)cc(c12)Sc3c(N2CCCCCCCC)ccc(c3)C(=O)/C(=N/OC(=O)C)CCCCC,CC([O])=O,CCCCCCCCN1c2ccc(C(=O)C(=[N])CCCCC)cc2Sc2cc(C(=O)/C(CCCCC)=N/OC(C)=O)ccc21,[C],41.06676444018689
269,COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)ON=C(c2ccccc2)c2ccccc2)n1,COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C([O])=O)n1,[N]=C(c1ccccc1)c1ccccc1,COc1cc(OC)nc(Oc2[c]c(Oc3nc(OC)cc(OC)n3)ccc2)n1,39.056849910053636
271,CC(=O)ON=C1c2cc(S(=O)(=O)N(C)C)ccc2-c2ccc(S(=O)(=O)N(C)C)cc21,CC([O])=O,CN(C)S(=O)(=O)c1ccc2c(c1)C(=[N])c1cc(S(=O)(=O)N(C)C)ccc1-2,[C],45.534635640035575
272,CC(C)=NOC(=O)Nc1ccc(C)c(NC(=O)ON=C(C)C)c1,CC(C)=NOC(=O)Nc1cc(NC([O])=O)ccc1C,CC(C)=[N],CC(C)=NOC(=O)Nc1cc([NH])ccc1C,44.3222863201002
273,CC(C)=NOC(=O)Nc1ccc(C)c(NC(=O)ON=C(C)C)c1,CC(C)=NOC(=O)Nc1ccc(C)c(NC([O])=O)c1,CC(C)=[N],CC(C)=NOC(=O)Nc1ccc(C)c([NH])c1,44.19301925999853
274,CC(C)=NOC(=O)Nc1ccc(C)cc1C,Cc1ccc(NC([O])=O)c(C)c1,CC(C)=[N],Cc1ccc([NH])c(C)c1,43.32768296997177
275,CC(C)=NOC(=O)Nc1ccc([N+](=O)[O-])cc1Cl,[O]C(=O)Nc1ccc([N+](=O)[O-])cc1Cl,CC(C)=[N],[NH]c1ccc([N+](=O)[O-])cc1Cl,45.51957539993092
278,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)ON=C1CCCCC1,[O]C(=O)Nc1ccc([N+](=O)[O-])cc1Cl,[N]=C1CCCCC1,[NH]c1ccc([N+](=O)[O-])cc1Cl,41.46146822997509
279,CNC(=O)O/N=C(\C)SC,CNC([O])=O,CSC(C)=[N],C[NH],44.388802380003604
280,COc1ccc2c(c1)OC/C2=N\OC(=O)CCl,[O]C(=O)CCl,COc1ccc2c(c1)OCC2=[N],[C]Cl,45.92745690004255
